participantID,speed,trial,side_foot_strike1,time_foot_strike1,side_foot_strike2,time_foot_strike2,side_foot_off1,time_foot_off1,side_foot_off2,time_foot_off2,side_foot_strike3,time_foot_strike3,side_foot_strike4,time_foot_strike4,side_foot_off3,time_foot_off3
2014009,5,1,l,0.050000049,l,1.110000014,r,0.179999918,r,1.250000119,r,0.580000043,r,1.659999967,l,0.730000138
2014009,5,2,r,0.050000023,r,1.100000143,l,0.180000022,l,1.25,l,0.600000083,l,1.630000114,r,0.729999959
2014009,5,3,r,0.049999997,r,1.060000062,l,0.170000002,l,1.179999948,l,0.569999993,l,1.570000052,r,0.680000007
2014009,5,4,l,0.050000049,l,1.060000062,r,0.170000046,r,1.179999948,r,0.560000062,r,1.560000062,l,0.699999928
2014009,5,5,l,0.049999963,l,1.029999971,r,0.149999991,r,1.140000105,r,0.529999971,r,1.559999943,l,0.669999957
2014011,1,1,r,0.04999977,r,2.699999809,l,0.779999793,l,3.309999943,l,1.429999828,l,4.019999981,r,2.090000153
2014011,1,2,l,0.049999963,l,2.74000001,r,0.7099998,r,3.350000143,r,1.390000105,r,4.070000172,l,2.180000067
2014011,1,3,l,0.050000075,l,2.840000153,r,0.840000033,r,3.599999905,r,1.490000129,r,4.210000038,l,2.240000248
2014011,1,4,l,0.050000228,l,2.730000019,r,0.710000098,r,3.389999866,r,1.380000114,r,4.06000042,l,2
2014011,1,5,r,0.049999904,r,2.720000029,l,0.719999969,l,3.439999819,l,1.399999857,l,4.159999847,r,2.089999914
2014011,2,1,l,0.049999967,l,1.780000091,r,0.330000043,r,2.150000095,r,0.939999938,r,2.710000277,l,1.280000091
2014011,2,2,l,0.049999952,l,1.78000021,r,0.359999895,r,2.079999924,r,0.910000086,r,2.610000134,l,1.24000001
2014011,2,3,r,0.050000049,r,1.799999833,l,0.330000013,l,2.089999676,l,0.949999928,l,2.699999809,r,1.250000119
2014011,2,4,l,0.049999963,l,1.7900002,r,0.329999924,r,2.100000143,r,0.920000076,r,2.589999914,l,1.220000029
2014011,3,1,r,0.049999963,r,1.190000057,l,0.189999953,l,1.349999905,l,0.620000005,l,1.75999999,r,0.769999981
2014011,3,2,r,0.049999986,r,1.209999919,l,0.199999958,l,1.360000014,l,0.630000055,l,1.790000081,r,0.779999912
2014011,3,3,r,0.050000023,r,1.180000067,l,0.180000022,l,1.340000153,l,0.610000074,l,1.75999999,r,0.759999931
2014011,3,4,r,0.050000042,r,1.24000001,l,0.219999999,l,1.380000114,l,0.649999976,l,1.850000143,r,0.799999952
2014011,4,1,r,0.04999999,r,1.170000076,l,0.199999973,l,1.309999943,l,0.609999955,l,1.710000038,r,0.76000005
2014011,4,2,r,0.04999999,r,1.129999876,l,0.189999983,l,1.25999999,l,0.599999964,l,1.649999857,r,0.75000006
2014011,4,3,r,0.049999956,r,1.110000014,l,0.189999938,l,1.2299999,l,0.610000014,l,1.659999967,r,0.7299999
2014011,4,4,r,0.050000057,r,1.129999995,l,0.190000042,l,1.2700001,l,0.590000033,l,1.649999976,r,0.7299999
2014011,5,1,l,0.050000019,l,0.990000069,r,0.170000017,r,1.120000005,r,0.540000021,r,1.460000157,l,0.629999936
2014011,5,2,r,0.049999956,r,1.040000081,l,0.149999976,l,1.149999976,l,0.549999952,l,1.51000011,r,0.659999967
2014011,5,3,r,0.050000027,r,1.01000011,l,0.160000041,l,1.110000014,l,0.550000012,l,1.500000119,r,0.629999936
2014011,5,4,r,0.049999941,r,1,l,0.149999961,l,1.099999905,l,0.529999971,l,1.450000048,r,0.620000005
2014011,5,5,l,0.050000057,l,1.030000091,r,0.159999952,r,1.149999976,r,0.550000072,r,1.530000091,l,0.659999967
2014013,1,1,l,0.050000038,l,3.249999762,r,0.789999783,r,3.9599998,r,1.559999824,r,4.630000114,l,2.589999914
2014013,1,2,l,0.050000075,l,3.130000114,r,0.829999804,r,3.940000534,r,1.680000186,r,4.739999771,l,2.390000343
2014013,1,3,l,0.050000116,l,3.159999847,r,0.729999959,r,3.880000114,r,1.530000091,r,4.470000267,l,2.329999924
2014013,1,4,l,0.050000135,l,3.510000229,r,0.900000036,r,4.389999866,r,1.840000153,r,5.200000286,l,2.809999943
2014013,2,1,l,0.050000057,l,1.640000224,r,0.379999995,r,1.9799999,r,0.840000033,r,2.450000048,l,1.160000205
2014013,2,2,l,0.050000116,l,1.590000033,r,0.360000044,r,1.939999938,r,0.820000112,r,2.369999886,l,1.099999785
2014013,2,3,l,0.049999923,l,1.640000105,r,0.390000075,r,1.970000029,r,0.850000143,r,2.430000067,l,1.170000076
2014013,2,4,l,0.049999952,l,1.579999924,r,0.380000114,r,1.949999809,r,0.819999933,r,2.380000114,l,1.119999886
2014013,2,5,l,0.049999934,l,1.630000114,r,0.339999884,r,1.960000038,r,0.819999933,r,2.420000076,l,1.120000124
2014013,3,1,r,0.050000034,r,1.190000057,l,0.239999965,l,1.380000114,l,0.630000055,l,1.789999962,r,0.819999874
2014013,3,2,r,0.050000016,r,1.25,l,0.26000005,l,1.470000029,l,0.670000017,l,1.860000134,r,0.869999945
2014013,3,3,r,0.050000023,r,1.180000067,l,0.249999955,l,1.380000114,l,0.629999936,l,1.769999981,r,0.819999874
2014013,3,4,r,0.050000023,r,1.230000019,l,0.219999984,l,1.410000086,l,0.640000045,l,1.809999943,r,0.840000093
2014013,4,1,l,0.049999971,l,1.119999886,r,0.199999943,r,1.269999981,r,0.579999924,r,1.650000095,l,0.730000019
2014013,4,2,l,0.050000023,l,1.120000124,r,0.209999993,r,1.269999981,r,0.589999974,r,1.650000095,l,0.729999959
2014013,4,3,l,0.049999975,l,1.110000014,r,0.189999968,r,1.269999862,r,0.590000033,r,1.639999986,l,0.7299999
2014013,4,4,l,0.049999982,l,1.099999905,r,0.199999958,r,1.25999999,r,0.589999914,r,1.629999876,l,0.720000029
2014013,5,1,l,0.050000008,l,0.990000069,r,0.170000017,r,1.119999886,r,0.540000021,r,1.460000038,l,0.650000036
2014013,5,2,l,0.050000004,l,0.959999979,r,0.160000026,r,1.080000043,r,0.51000005,r,1.419999957,l,0.609999955
2014013,5,3,r,0.04999999,r,0.990000069,l,0.14000003,l,1.089999914,l,0.530000031,l,1.460000038,r,0.629999936
2014013,5,4,l,0.049999986,l,0.979999959,r,0.140000015,r,1.100000024,r,0.51000005,r,1.439999938,l,0.620000064
2014013,5,5,r,0.049999941,r,1,l,0.159999952,l,1.109999895,l,0.539999962,l,1.460000038,r,0.650000095
2014014,1,1,r,0.049999811,r,2.829999924,l,0.839999795,l,3.730000019,l,1.429999948,l,4.349999905,r,2.150000095
2014014,1,2,l,0.049999982,l,2.999999762,r,0.970000029,r,3.819999933,r,1.499999762,r,4.53000021,l,2.379999876
2014014,1,3,l,0.050000027,l,3.090000153,r,1.000000119,r,3.980000019,r,1.569999814,r,4.559999943,l,2.549999714
2014014,1,4,l,0.049999904,l,3.099999666,r,0.98999995,r,3.880000353,r,1.609999895,r,4.630000114,l,2.450000048
2014014,1,5,r,0.049999904,r,2.939999819,l,0.890000045,l,3.819999933,l,1.470000029,l,4.460000038,r,2.25999999
2014014,2,1,l,0.04999999,l,1.619999886,r,0.379999906,r,1.980000019,r,0.869999945,r,2.460000038,l,1.159999847
2014014,2,2,r,0.050000057,r,1.610000014,l,0.350000024,l,1.919999957,l,0.840000033,l,2.439999819,r,1.139999986
2014014,2,3,r,0.049999963,r,1.599999905,l,0.349999905,l,1.950000048,l,0.829999924,l,2.419999838,r,1.129999876
2014014,2,4,r,0.050000068,r,1.639999986,l,0.399999976,l,1.969999909,l,0.840000033,l,2.389999866,r,1.139999986
2014014,3,1,l,0.049999975,l,1.219999909,r,0.230000049,r,1.429999948,r,0.649999976,r,1.850000024,l,0.830000043
2014014,3,2,l,0.050000008,l,1.179999828,r,0.229999959,r,1.379999876,r,0.630000055,r,1.769999981,l,0.780000031
2014014,3,3,l,0.04999999,l,1.190000057,r,0.209999964,r,1.389999866,r,0.639999926,r,1.779999971,l,0.800000012
2014014,3,4,l,0.050000057,l,1.240000129,r,0.239999995,r,1.459999919,r,0.659999967,r,1.840000033,l,0.830000043
2014014,3,5,l,0.04999999,l,1.210000038,r,0.209999964,r,1.399999857,r,0.639999926,r,1.789999962,l,0.810000002
2014014,4,1,l,0.04999999,l,1.180000067,r,0.209999964,r,1.369999886,r,0.630000055,r,1.75,l,0.790000021
